證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"00683L","元大美元指數正2","1045000","18189080","17.44","17.44","17.38","17.39","-0.0500","205"
"00684R","元大美元指數反1","6000","113160","18.86","18.86","18.86","18.86","0.0000","1"
"00685L","群益臺灣加權正2","2000","52300","26.14","26.16","26.14","26.16","-0.0400","2"
"00686R","群益臺灣加權反1","28000","143080","5.11","5.11","5.11","5.11","0.0000","4"
"00688L","國泰20年美債正2","103000","3146570","30.52","30.55","30.50","30.55","0.4400","5"
"00689R","國泰20年美債反1","113000","1453120","12.84","12.86","12.84","12.86","-0.1100","4"
"00690","兆豐藍籌30","58879","1631775","27.72","27.75","27.62","27.75","0.0300","42"
"00691R","兆豐藍籌30反1","22000","233300","10.61","10.61","10.60","10.60","0.0000","3"
"00692","富邦公司治理","1799274","51087066","28.44","28.45","28.33","28.45","0.0100","688"
"00693U","街口S&P黃豆","5783470","105888598","18.21","18.35","18.21","18.33","0.1900","916"
"00700","富邦恒生國企","119067","2306084","19.32","19.38","19.31","19.38","0.0600","14"
"00701","國泰股利精選30","1236047","26622335","21.56","21.58","21.51","21.55","-0.0100","711"
"00702","國泰標普低波高息","23000","390270","16.99","16.99","16.93","16.98","-0.1000","11"
"00703","台新MSCI中國","98000","2446770","25.03","25.03","24.92","24.97","0.2100","12"
"00706L","元大S&P日圓正2","534000","9696010","18.14","18.18","18.14","18.18","0.0600","23"
"00707R","元大S&P日圓反1","","","","","","","0.0000",""
"00708L","元大S&P黃金正2","4330000","128751710","29.72","29.84","29.66","29.83","0.0300","757"
"00709","富邦歐洲","127427","2592878","20.32","20.38","20.31","20.37","0.0700","24"
"00710B","FH彭博高收益債","1289000","24016120","18.60","18.65","18.60","18.65","0.0300","70"
"00711B","FH彭博新興債","159000","3551900","22.31","22.37","22.31","22.35","0.0900","13"
"00712","FH富時不動產","1430997","17045239","11.94","11.94","11.90","11.92","-0.0300","603"
"00713","元大台灣高息低波","399873","13469072","33.80","33.80","33.64","33.70","0.0000","321"
"00714","群益道瓊美國地產","213110","3999514","18.69","18.77","18.69","18.77","-0.0100","9"
"00715L","街口布蘭特油正2","18171842","64486110","3.54","3.57","3.53","3.55","0.0000","1383"
"00717","富邦美國特別股","716437","12022545","16.80","16.80","16.77","16.79","0.0500","111"
"00728","第一金工業30","216526","5297698","24.35","24.49","24.35","24.49","-0.0300","24"
"00730","富邦臺灣優質高息","370402","6411713","17.35","17.35","17.29","17.33","0.0200","167"
"00731","FH富時高息低波","1043444","49026048","47.03","47.05","46.93","46.95","-0.1000","52"
"00732","國泰RMB短期報酬","100000","3925000","39.25","39.25","39.25","39.25","-0.0500","2"
"00733","富邦臺灣中小","223800","5525199","24.49","24.70","24.49","24.70","0.2500","18"
"00735","國泰臺韓科技","117000","3183460","27.20","27.25","27.20","27.25","0.2000","8"
"00736","國泰新興市場","110100","2374414","21.46","21.59","21.46","21.59","0.0900","13"
"00737","國泰AI+Robo","485555","13439179","27.61","27.73","27.60","27.71","0.3500","113"
"00738U","元大道瓊白銀","1303197","33203005","25.39","25.60","25.35","25.55","0.0000","502"
"00739","元大MSCI A股","169296","4465335","26.34","26.39","26.31","26.38","0.0800","42"
"00742","新光內需收益","101693","2191235","21.55","21.55","21.55","21.55","0.0000","7"
"00743","國泰中國A150","71594","1969025","27.37","27.60","27.37","27.57","0.1400","21"
"00752","中信中國50","1249876","37632806","29.98","30.24","29.96","30.15","0.2400","755"
"00753L","中信中國50正2","357000","13527950","38.11","38.11","37.70","37.90","0.5700","111"
"00757","統一FANG+","720314","28562270","39.45","39.78","39.45","39.73","0.4700","291"
"00762","元大全球AI","380130","12554279","33.00","33.12","32.95","33.08","0.5000","116"
"00763U","街口道瓊銅","127000","2698250","21.30","21.30","21.15","21.28","0.2100","34"
"00766L","台新MSCI中國正2","84000","997480","11.88","11.92","11.87","11.92","0.1400","10"
"00770","國泰北美科技","123191","3829821","31.07","31.15","31.02","31.12","0.3600","24"
"00771","元大US高息特別股","51613","988832","19.22","19.22","19.13","19.18","0.0000","35"
"00774B","新光中國政金綠債","711000","27415900","38.56","38.56","38.50","38.50","-0.0600","4"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","2000","91080","45.54","45.54","45.54","45.54","0.2100","2"
"00783","富邦中証500","975143","21292873","21.74","21.86","21.74","21.84","0.1300","40"
"008201","BP上證50","","","","","","","0.0000",""
"00830","國泰費城半導體","700979","16294068","23.22","23.29","23.18","23.26","0.3300","189"
"00850","元大臺灣ESG永續","6914120","188853247","27.43","27.43","27.21","27.40","0.0000","3809"
"00851","台新全球AI","37000","1015250","27.40","27.51","27.40","27.51","0.3500","15"
"00852L","國泰美國道瓊正2","3035065","46142359","15.21","15.25","15.15","15.22","-0.1400","470"
"00861","元大全球未來通訊","2482802","62149721","24.99","25.08","24.98","25.06","0.0800","593"
"00865B","國泰US短期公債","386000","14482870","37.51","37.55","37.50","37.51","0.0000","8"
"00866","新光Shiller CAPE","33000","711680","21.56","21.60","21.56","21.60","0.0000","5"
"00875","國泰網路資安","1697097","44561378","26.20","26.34","26.20","26.32","0.3400","409"
"00876","元大未來關鍵科技","5304493","127419236","23.99","24.08","23.98","24.08","0.2100","1424"
"00878","國泰永續高股息","17255023","262312858","15.19","15.23","15.16","15.23","0.0200","4716"
"01001T","土銀富邦R1","125000","2300000","18.40","18.40","18.40","18.40","0.0000","6"
"01002T","土銀國泰R1","66384","1241722","18.71","18.71","18.69","18.70","0.0200","63"
"01003T","兆豐新光R1","578908","11348468","19.63","19.63","19.61","19.62","0.0000","30"
"01004T","土銀富邦R2","19000","321150","16.96","16.96","16.82","16.82","0.0000","19"
"01007T","兆豐國泰R2","22868","444701","19.42","19.42","19.35","19.40","0.0200","30"
"01009T","王道圓滿R1","7000","68770","9.81","9.87","9.81","9.87","0.0700","6"
"01010T","京城樂富R1","50000","529000","10.58","10.58","10.58","10.58","0.0000","9"
"020000","富邦特選蘋果N","40000","241700","6.03","6.05","6.03","6.05","0.0000","9"
"020002","元富新中國N","","","","","","","0.0000",""
"020004","兆豐電菁英30N","2000","54440","27.22","27.22","27.22","27.22","0.0000","1"
"020006","永昌中小300N","","","","","","","0.0000",""
"020007","凱基臺灣500N","","","","","","","0.0000",""
"020008","元大特股高息N","1000","11230","11.23","11.23","11.23","11.23","-0.0700","1"
"020011","統一微波高息20N","10000","50780","5.01","5.10","5.01","5.09","-0.0100","3"
"020012","富邦行動通訊N","62000","369210","5.95","5.96","5.95","5.95","0.0200","17"
"020015","統一MSCI美低波N","","","","","","","0.0000",""
"020016","統一MSCI美科技N","45000","716010","15.91","15.94","15.91","15.94","0.2200","3"
"020018","統一價值成長30N","101000","1131360","11.23","11.23","11.18","11.18","-0.0500","13"
"020019","統一特選台灣5GN","582000","6249900","10.68","10.79","10.66","10.77","0.0900","72"
"02001L","富邦蘋果正二N","3000","24120","8.04","8.04","8.04","8.04","-0.0500","1"
"02001R","富邦蘋果反一N","","","","","","","0.0000",""
"020020","元大台股領航N","1456000","8023460","5.51","5.54","5.46","5.52","0.0100","295"
"1101","台泥","15549529","663114065","42.75","42.80","42.50","42.70","-0.2000","5846"
"1101B","台泥乙特","4791","256167","53.60","53.60","53.60","53.60","0.0000","6"
"1102","亞泥","4069044","179164513","44.20","44.20","43.85","44.10","-0.1500","1603"
"1103","嘉泥","564090","9848664","17.65","17.65","17.35","17.50","-0.1000","267"
"1104","環泥","1946990","45226773","22.80","23.40","22.70","23.25","0.1000","981"
"1108","幸福","1105147","12433892","11.30","11.35","11.20","11.20","-0.1500","351"
"1109","信大","217131","4378241","20.30","20.30","20.10","20.20","0.0000","87"
"1110","東泥","62936","1067917","17.00","17.05","16.90","17.00","0.1000","39"
"1201","味全","779229","16108636","20.70","20.75","20.60","20.65","0.0000","446"
"1203","味王","23882","868113","36.30","36.50","36.30","36.50","0.2500","41"
"1210","大成","1267235","58557066","46.30","46.40","46.05","46.15","-0.2500","909"
"1213","大飲","21784","188315","8.63","8.88","8.63","8.88","0.2500","8"
"1215","卜蜂","827056","58742694","71.00","71.40","70.70","71.40","0.8000","572"
"1216","統一","4612074","314087069","68.40","68.40","67.90","68.10","-0.3000","1998"
"1217","愛之味","18075030","148437070","8.01","8.34","8.01","8.21","0.2300","3965"
"1218","泰山","845135","19567035","23.25","23.25","23.00","23.15","-0.1500","328"
"1219","福壽","451711","8584022","19.00","19.05","18.95","19.05","0.0500","240"
"1220","台榮","273114","3335679","12.35","12.35","12.15","12.20","-0.1500","120"
"1225","福懋油","50370","1647294","33.05","33.05","32.50","32.65","-0.1500","48"
"1227","佳格","2344153","144495619","61.90","62.00","61.40","61.60","-0.3000","2006"
"1229","聯華","1851739","75765027","41.10","41.15","40.80","41.00","-0.0500","1393"
"1231","聯華食","146471","6486465","44.45","44.45","44.15","44.30","0.0500","149"
"1232","大統益","68768","8625282","126.00","126.00","125.00","125.50","-0.5000","112"
"1233","天仁","14169","510238","36.00","36.00","35.80","35.95","-0.0500","15"
"1234","黑松","84235","2780759","33.00","33.15","32.95","33.00","0.0000","74"
"1235","興泰","3000","75500","25.25","25.25","25.05","25.05","0.0000","3"
"1236","宏亞","45571","617286","13.60","13.60","13.50","13.50","-0.1000","52"
"1256","鮮活果汁-KY","73622","23045726","316.50","316.50","311.00","311.50","-7.0000","220"
"1301","台塑","6108240","537861850","88.00","88.30","87.50","88.30","0.2000","3175"
"1303","南亞","6712821","438573552","65.30","65.70","65.00","65.70","0.4000","2491"
"1304","台聚","16658372","324931103","19.25","19.85","19.15","19.80","0.8000","5521"
"1305","華夏","4534397","103162948","22.95","23.05","22.55","22.80","-0.0500","1915"
"1307","三芳","1680527","38026344","21.40","23.20","21.40","22.70","1.3500","997"
"1308","亞聚","1711163","32547848","19.05","19.20","18.90","19.10","0.1000","686"
"1309","台達化","9368111","287153597","30.55","31.10","30.25","30.90","0.5000","3842"
"1310","台苯","2458499","41268578","16.95","17.00","16.65","16.90","-0.0500","1091"
"1312","國喬","30849860","727519740","24.15","24.25","23.15","23.50","-0.6000","9511"
"1312A","國喬特","39000","1181150","30.20","30.55","30.20","30.45","-0.0500","9"
"1313","聯成","12473183","195085460","15.75","16.00","15.45","15.65","0.2000","4040"
"1314","中石化","18490618","160826234","8.76","8.79","8.67","8.67","-0.0900","3541"
"1315","達新","1060371","79247731","73.90","75.60","73.60","75.40","2.1000","817"
"1316","上曜","217061","2541613","11.75","11.75","11.60","11.70","0.0500","119"
"1319","東陽","321838","12377891","38.50","38.65","38.35","38.60","0.1000","185"
"1321","大洋","160000","5661850","35.55","35.55","35.30","35.40","-0.3000","75"
"1323","永裕","41755","1377963","33.05","33.05","32.90","33.05","0.0500","29"
"1324","地球","10631","105655","9.91","9.96","9.91","9.96","-0.0100","10"
"1325","恆大","2571195","289464264","114.00","114.50","111.50","111.50","-2.0000","1681"
"1326","台化","7484999","596645635","79.80","79.80","79.30","79.80","0.0000","3140"
"1337","再生-KY","20539551","170624337","8.37","8.65","7.91","7.97","-0.1900","5256"
"1338","廣華-KY","1010308","59308820","58.00","59.50","57.70","59.00","1.0000","660"
"1339","昭輝","117000","5048450","43.10","43.50","43.00","43.25","0.1500","95"
"1340","勝悅-KY","1011672","13001505","12.80","13.20","12.60","12.65","0.0000","441"
"1341","富林-KY","31000","1814000","58.50","59.00","58.50","58.50","0.0000","16"
"1402","遠東新","6314352","176924966","28.10","28.15","27.90","28.15","-0.0500","2830"
"1409","新纖","2890224","34349956","11.90","11.95","11.85","11.85","-0.0500","693"
"1410","南染","30022","1000568","33.45","33.50","33.30","33.30","-0.4500","15"
"1413","宏洲","8104","69324","8.58","8.58","8.50","8.50","-0.0900","7"
"1414","東和","3499297","58631507","16.70","17.40","16.00","16.00","-0.9500","1400"
"1416","廣豐","174228","2021916","11.60","11.70","11.55","11.65","0.1000","114"
"1417","嘉裕","592548","6675463","11.35","11.35","11.20","11.20","-0.0500","217"
"1418","東華","5768","42123","7.41","7.41","7.30","7.31","-0.0400","9"
"1419","新紡","13016","546369","41.85","42.20","41.85","42.20","0.1500","13"
"1423","利華","70495","1107821","15.80","15.85","15.65","15.80","0.0000","43"
"1432","大魯閣","1087449","19003787","17.55","18.00","17.00","17.20","-0.2500","643"
"1434","福懋","2695128","85562652","31.90","32.00","31.60","31.70","-0.2000","1612"
"1435","中福","357072","6792061","19.10","19.15","18.95","19.05","-0.3000","156"
"1436","華友聯","86389","3393677","39.15","39.50","39.15","39.20","0.0000","55"
"1437","勤益控","60277","1433041","23.75","23.85","23.75","23.80","-0.0500","35"
"1438","三地開發","176208","2156316","12.40","12.55","12.20","12.20","-0.4000","46"
"1439","中和","212067","6049456","28.45","28.80","28.25","28.45","-0.0500","98"
"1440","南紡","19040137","278335253","14.90","15.00","14.40","14.50","-0.5500","4704"
"1441","大東","239118","1938314","8.22","8.22","8.04","8.12","-0.0600","127"
"1442","名軒","158717","2884609","18.15","18.25","18.10","18.20","0.1000","84"
"1443","立益","10343","102138","9.77","10.00","9.77","10.00","0.3200","10"
"1444","力麗","9665535","118831963","12.40","12.45","12.20","12.40","0.0000","2469"
"1445","大宇","713302","8164230","11.45","11.85","11.25","11.30","-0.0500","184"
"1446","宏和","1885723","57786304","31.00","31.70","30.25","30.30","-3.3000","851"
"1447","力鵬","1606088","12449975","7.76","7.81","7.73","7.74","-0.0400","497"
"1451","年興","157576","2580505","16.40","16.45","16.30","16.40","0.0000","97"
"1452","宏益","76001","1184815","15.60","15.65","15.55","15.60","-0.0500","45"
"1453","大將","240422","2054187","8.60","8.65","8.42","8.49","-0.1100","56"
"1454","台富","47713","402327","8.44","8.55","8.40","8.45","-0.0300","25"
"1455","集盛","1275458","11697481","9.24","9.24","9.13","9.17","0.0100","311"
"1456","怡華","200303","2084811","10.70","10.70","10.10","10.10","-0.5000","113"
"1457","宜進","1162317","17230879","14.85","14.90","14.70","14.90","0.0000","449"
"1459","聯發","156135","1277993","8.16","8.26","8.11","8.26","0.0500","71"
"1460","宏遠","558715","5301308","9.47","9.55","9.45","9.47","0.0000","234"
"1463","強盛","123536","1496564","12.25","12.25","12.00","12.10","-0.1500","80"
"1464","得力","211375","3871109","18.35","18.40","18.25","18.35","0.0000","146"
"1465","偉全","42060","543207","12.90","12.95","12.90","12.90","-0.0500","51"
"1466","聚隆","1620535","30928301","19.00","19.35","18.75","19.10","0.1500","759"
"1467","南緯","6685485","130203031","19.10","19.85","18.85","19.70","0.8000","2093"
"1468","昶和","48000","573800","11.85","12.25","11.85","12.25","0.2500","32"
"1470","大統新創","4000","71800","17.95","17.95","17.95","17.95","0.0000","1"
"1471","首利","1389567","7945819","5.76","5.92","5.60","5.87","-0.1300","391"
"1472","三洋紡","281568","2717311","9.58","9.85","9.40","9.69","0.1100","135"
"1473","台南","95751","1727196","18.00","18.05","18.00","18.00","0.0500","82"
"1474","弘裕","422360","5357107","12.70","12.75","12.65","12.70","0.0000","173"
"1475","本盟","27020","634788","23.00","24.00","23.00","23.00","0.6500","16"
"1476","儒鴻","849682","350055804","417.00","417.00","407.00","412.50","-4.5000","752"
"1477","聚陽","1493928","283859800","186.50","192.00","186.50","190.00","3.5000","1069"
"1503","士電","124916","6395025","51.30","51.30","50.90","51.20","-0.1000","92"
"1504","東元","4852192","143928674","29.95","30.00","29.45","29.55","-0.3500","1708"
"1506","正道","180004","1879290","10.45","10.55","10.35","10.50","0.0000","62"
"1507","永大","20875","1382477","66.20","66.30","66.10","66.20","-0.2000","36"
"1512","瑞利","61002","271518","4.47","4.47","4.45","4.45","-0.0500","25"
"1513","中興電","23068298","1156912299","50.60","51.20","49.50","49.65","-0.6500","10361"
"1514","亞力","985583","26531682","27.15","27.25","26.80","26.95","-0.2000","605"
"1515","力山","1035380","80104662","77.20","77.90","76.70","77.80","0.6000","786"
"1516","川飛","107800","2351887","21.90","22.00","21.65","21.85","-0.1000","84"
"1517","利奇","2045218","29839776","14.65","14.65","14.50","14.60","-0.0500","767"
"1519","華城","2267995","114541790","50.90","51.50","50.10","50.30","-0.7000","1561"
"1521","大億","21200","1187520","56.10","56.60","55.90","56.60","0.6000","20"
"1522","堤維西","301823","6478724","21.55","21.60","21.30","21.50","-0.0500","192"
"1524","耿鼎","210921","1984873","9.45","9.45","9.37","9.43","0.0300","134"
"1525","江申","263628","18063128","69.30","69.30","68.00","68.90","-0.7000","240"
"1526","日馳","1756701","89968777","51.70","52.20","50.70","50.90","-0.8000","1116"
"1527","鑽全","375859","15586404","41.60","41.85","41.30","41.50","0.0000","267"
"1528","恩德","237494","1925913","8.14","8.17","8.09","8.13","-0.0100","119"
"1529","樂士","69770","1003110","14.25","14.70","14.20","14.35","0.1000","49"
"1530","亞崴","32918","988109","30.00","30.30","29.95","30.05","-0.0500","33"
"1531","高林股","326632","3882367","11.80","11.95","11.75","11.90","0.1500","145"
"1532","勤美","1534432","50776647","33.70","33.75","32.80","33.05","-0.8000","796"
"1533","車王電","162511","5337933","32.90","33.25","32.60","32.75","0.0000","119"
"1535","中宇","68000","2312650","34.45","34.45","33.90","33.90","-0.2000","36"
"1536","和大","695162","67032743","96.30","96.90","96.00","96.50","0.5000","573"
"1537","廣隆","83241","11614481","140.00","140.00","139.00","139.00","-1.0000","62"
"1538","正峰","21935","165997","7.49","7.76","7.49","7.56","-0.3600","37"
"1539","巨庭","29000","564850","19.45","19.60","19.45","19.55","-0.0500","19"
"1540","喬福","148443","2219195","14.90","15.00","14.90","14.90","-0.0500","55"
"1541","錩泰","5000","260800","52.00","52.50","52.00","52.30","0.4000","5"
"1558","伸興","58819","8185647","140.00","140.00","138.50","139.00","-0.5000","56"
"1560","中砂","177861","10694954","60.30","60.30","59.90","60.20","0.0000","133"
"1568","倉佑","964157","17457696","17.60","18.40","17.60","18.30","0.8500","345"
"1582","信錦","278827","24245620","86.60","87.30","86.60","86.80","0.1000","242"
"1583","程泰","7082","424633","60.00","60.00","59.90","60.00","0.0000","8"
"1587","吉茂","908087","25072882","27.95","27.95","27.35","27.50","-0.3500","564"
"1589","永冠-KY","2085634","191880562","93.00","93.40","91.10","91.80","-1.2000","1312"
"1590","亞德客-KY","342938","281481332","816.00","826.00","811.00","824.00","16.0000","320"
"1592","英瑞-KY","394000","3779030","9.55","9.72","9.50","9.54","0.1200","186"
"1598","岱宇","2222546","264651050","119.00","120.50","117.00","120.00","1.0000","1550"
"1603","華電","92573","2666806","29.30","29.30","28.55","28.75","0.3500","65"
"1604","聲寶","2362090","62642346","26.85","26.90","26.25","26.50","-0.2500","859"
"1605","華新","4862989","87170062","17.95","18.00","17.85","18.00","-0.0500","1707"
"1608","華榮","1278000","13955697","10.90","11.00","10.80","11.00","0.1000","421"
"1609","大亞","10928318","207504159","19.15","19.25","18.85","19.00","-0.2000","3778"
"1611","中電","541316","6007046","11.20","11.20","11.00","11.10","-0.0500","281"
"1612","宏泰","3936468","60219359","15.55","15.65","15.15","15.20","-0.3500","1513"
"1614","三洋電","90106","3215374","35.70","35.80","35.60","35.80","0.0500","58"
"1615","大山","76860","1744584","22.90","22.90","22.65","22.70","0.0000","39"
"1616","億泰","155494","875035","5.63","5.67","5.60","5.63","0.0200","73"
"1617","榮星","24002","314124","13.10","13.10","13.05","13.10","-0.0500","13"
"1618","合機","1409200","16028805","11.60","11.60","11.30","11.45","-0.0500","453"
"1626","艾美特-KY","259060","6551656","25.30","25.50","24.85","25.20","-0.0500","129"
"1701","中化","1253480","29580940","23.55","23.70","23.50","23.55","0.0500","555"
"1702","南僑","505928","23203494","45.75","46.00","45.75","45.95","0.2000","400"
"1707","葡萄王","261546","43908750","168.50","168.50","167.50","167.50","-1.0000","291"
"1708","東鹼","156560","3528559","22.60","22.60","22.50","22.55","-0.1000","103"
"1709","和益","392894","5635775","14.35","14.40","14.30","14.35","0.0000","154"
"1710","東聯","1443087","24917869","17.30","17.40","17.15","17.35","0.0500","442"
"1711","永光","770573","12706133","16.50","16.60","16.40","16.50","0.0000","417"
"1712","興農","773944","15833741","20.60","20.70","20.35","20.45","-0.1500","430"
"1713","國化","72004","1311172","18.30","18.30","18.10","18.25","0.1000","27"
"1714","和桐","3531162","34962567","9.87","9.95","9.87","9.90","0.0200","1218"
"1717","長興","1900920","65776792","34.80","34.80","34.35","34.70","0.1000","1035"
"1718","中纖","5609116","49602243","8.89","8.92","8.81","8.85","-0.0400","1508"
"1720","生達","173288","6561654","38.00","38.00","37.80","37.80","-0.1000","128"
"1721","三晃","534990","5462292","10.10","10.35","10.05","10.25","0.2000","175"
"1722","台肥","1444305","75969352","53.00","53.10","52.40","52.50","-0.5000","969"
"1723","中碳","1120017","110641773","99.00","99.50","97.90","98.70","1.3000","871"
"1724","台硝","16148","206476","12.70","12.80","12.70","12.80","0.0000","31"
"1725","元禎","10000","142800","14.25","14.30","14.25","14.30","0.0500","10"
"1726","永記","17261","1229039","70.80","71.70","70.80","71.40","0.3000","28"
"1727","中華化","2548398","27141161","10.75","10.75","10.60","10.65","-0.1000","78"
"1730","花仙子","67157","4826004","71.80","72.50","71.40","72.40","0.7000","60"
"1731","美吾華","532655","9202581","17.35","17.40","17.05","17.25","-0.0500","262"
"1732","毛寶","137350","2992049","21.65","21.90","21.60","21.80","0.2000","101"
"1733","五鼎","121731","2966200","24.40","24.40","24.30","24.40","0.0500","68"
"1734","杏輝","2172927","71715403","33.20","33.55","32.60","32.80","-0.4000","1394"
"1735","日勝化","6100","103600","16.95","17.15","16.95","17.15","0.2000","3"
"1736","喬山","2135851","173099495","81.00","82.30","80.30","80.50","-0.5000","1496"
"1737","臺鹽","425868","13862027","32.55","32.60","32.45","32.60","0.0500","264"
"1760","寶齡富錦","1323328","133287889","101.00","102.00","100.00","100.50","-1.5000","725"
"1762","中化生","1785383","114649392","64.70","65.50","63.60","64.00","-0.4000","1223"
"1773","勝一","212542","22246574","105.50","105.50","103.50","104.00","-0.5000","198"
"1776","展宇","21000","336000","16.15","16.20","15.70","16.05","0.4000","18"
